career_name,career_cluster,R,I,A,S,E,C,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism
Fighter Pilot,Defense & Military,9,8,3,4,8,8,7,7,7,5,2
Commercial Pilot,Skilled Trades & Construction,9,8,2,5,6,8,7,10,5,7,2
Civil Engineer,Engineering & Core,8,7,3,4,6,7,5,8,6,7,3
Financial Analyst,Business & Finance,2,7,1,3,7,9,6,9,5,6,5
Fashion Designer,Arts & Design,3,2,10,4,8,2,9,6,7,6,5
Army Officer,Defense & Military,8,7,3,7,10,7,6,10,7,6,3
Data Scientist,Software & Tech,2,10,5,1,8,9,10,7,4,3,3
Environmental Scientist,Agriculture & Nature,7,9,3,3,4,4,7,7,6,4,2
Investment Banker,Business & Finance,4,7,2,6,10,9,6,9,8,3,6
Strength & Conditioning Coach,Sports & Fitness,8,7,3,7,6,5,8,8,10,8,3
News Anchor,Media & Journalism,3,5,7,8,10,6,8,9,10,7,3
Master Electrician,Skilled Trades & Construction,10,8,3,4,4,7,5,9,5,7,2
Civil Architect,Skilled Trades & Construction,6,7,10,5,8,6,9,8,7,6,4
Civil Architect,Skilled Trades & Construction,6,8,9,4,6,7,8,9,6,6,3
Corporate Lawyer,Law & Public Policy,2,7,2,6,10,8,5,8,8,4,5
Art Director,Arts & Design,2,5,10,5,8,4,10,7,7,6,6
Pediatrician,Medical & Healthcare,4,10,2,10,5,5,6,8,8,9,5
Mechanical Engineer,Engineering & Core,8,7,4,4,6,7,7,10,5,5,4
Public Policy Analyst,Law & Public Policy,3,8,4,6,8,7,7,8,6,6,4
Human Rights Advocate,Law & Public Policy,2,7,4,10,10,3,8,7,10,8,6
Cloud Solutions Architect,Software & Tech,5,10,4,4,8,8,9,8,7,6,4
University Professor,Education & Social,3,10,5,7,6,5,9,9,7,8,2
Art Director,Arts & Design,4,4,10,4,7,4,8,5,8,7,5
Army Officer,Defense & Military,10,6,2,7,10,7,6,10,8,6,1
Marine Captain,Skilled Trades & Construction,9,6,3,5,9,8,7,9,8,6,4
Database Administrator,Software & Tech,4,9,2,2,6,10,7,10,4,5,4
Chartered Accountant (CA),Business & Finance,1,6,2,4,7,10,5,9,4,7,4
Data Scientist,Software & Tech,2,10,5,3,7,8,9,9,4,5,4
Environmental Scientist,Agriculture & Nature,7,10,4,5,4,6,7,9,5,5,3
Sports Data Analyst,Sports & Fitness,3,9,2,3,5,9,8,9,3,5,4
Investment Banker,Business & Finance,2,7,2,8,9,9,6,9,10,3,5
Marine Captain,Skilled Trades & Construction,9,6,3,6,10,7,8,9,8,6,4
Pediatrician,Medical & Healthcare,3,8,3,10,6,6,9,9,8,10,3
Hotel General Manager,Hospitality & Culinary,4,4,2,8,10,9,8,8,9,8,3
Sports Data Analyst,Sports & Fitness,4,8,2,4,5,9,7,8,4,6,3
Special Education Teacher,Education & Social,1,5,5,10,4,5,6,8,7,10,5
Executive Chef,Hospitality & Culinary,10,4,8,4,9,4,8,9,9,7,5
Police Detective,Defense & Military,8,10,3,8,6,6,6,8,8,6,2
Civil Architect,Skilled Trades & Construction,7,7,10,4,6,7,9,8,7,6,4
Geologist,Agriculture & Nature,9,10,3,3,3,4,8,7,3,5,3
Database Administrator,Software & Tech,2,9,1,3,6,9,7,8,6,5,2
Professional Athlete,Sports & Fitness,10,3,2,7,8,2,7,9,6,6,2
Intelligence Analyst,Defense & Military,5,10,1,2,6,10,8,8,3,5,3
Robotics Engineer,Engineering & Core,9,10,5,3,5,6,8,7,3,6,4
Investigative Journalist,Media & Journalism,3,9,9,8,10,7,9,8,8,5,4
Executive Chef,Hospitality & Culinary,10,4,7,5,7,5,9,8,8,7,5
Mechanical Engineer,Engineering & Core,9,9,4,3,4,6,8,6,4,6,4
Management Consultant,Business & Finance,3,8,4,7,8,4,8,8,9,5,3
Hotel General Manager,Hospitality & Culinary,3,2,3,8,9,8,8,9,9,10,4
Financial Analyst,Business & Finance,3,8,1,4,7,10,7,10,5,6,5
Agricultural Engineer,Agriculture & Nature,10,8,4,5,4,6,6,8,5,7,2
